SEASON_ID,TEAM_ID,HOME_ABRV,GAME_DATE,MATCHUP,HOME_WL,HOME_PTS,HOME_FG_PCT,HOME_FG3_PCT,HOME_FT_PCT,HOME_OREB,HOME_DREB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,AWAY_ABRV,AWAY_PTS,AWAY_FG_PCT,AWAY_FG3_PCT,AWAY_FT_PCT,AWAY_OREB,AWAY_DREB,AWAY_AST,AWAY_STL,AWAY_BLK,AWAY_TOV,AWAY_PF
12019,1610612746,LAC,2019-10-04,LAC vs. HOU,L,96,0.384,0.273,0.6,11,38,26,5,8,22,35,HOU,109.0,0.375,0.229,0.8,12.0,40.0,21.0,11.0,5.0,20.0,29.0
12019,1610612758,SAC,2019-10-04,SAC vs. IND,L,131,0.494,0.417,0.778,6,24,30,8,4,22,31,IND,132.0,0.516,0.37,0.788,14.0,33.0,26.0,11.0,3.0,24.0,29.0
12019,1610612754,IND,2019-10-05,IND vs. SAC,W,130,0.521,0.517,0.944,10,41,35,7,10,20,28,SAC,106.0,0.378,0.353,0.78,4.0,31.0,24.0,10.0,7.0,18.0,23.0
12019,1610612744,GSW,2019-10-05,GSW vs. LAL,L,101,0.393,0.262,0.769,10,37,20,10,2,16,27,LAL,123.0,0.475,0.303,0.633,16.0,42.0,32.0,9.0,1.0,14.0,24.0
12019,1610612759,SAS,2019-10-05,SAS vs. ORL,L,89,0.388,0.444,0.75,12,28,22,9,3,22,16,ORL,125.0,0.526,0.361,0.714,12.0,35.0,29.0,18.0,8.0,15.0,18.0
12019,1610612738,BOS,2019-10-06,BOS vs. CHA,W,107,0.46,0.286,0.708,10,31,23,10,11,23,18,CHA,106.0,0.444,0.368,0.8,13.0,35.0,29.0,11.0,5.0,25.0,29.0
12019,1610612765,DET,2019-10-07,DET vs. ORL,L,91,0.337,0.27,0.704,11,42,22,5,3,19,16,ORL,115.0,0.455,0.429,0.667,10.0,47.0,32.0,8.0,5.0,12.0,24.0
12019,1610612764,WAS,2019-10-07,WAS vs. NYK,L,99,0.351,0.255,0.792,10,44,26,3,8,10,21,NYK,104.0,0.418,0.429,0.684,8.0,47.0,25.0,5.0,5.0,15.0,23.0
12019,1610612737,ATL,2019-10-07,ATL vs. NOP,L,109,0.46,0.341,0.625,9,35,26,5,9,29,29,NOP,133.0,0.455,0.378,0.828,15.0,39.0,25.0,12.0,7.0,20.0,22.0
12019,1610612741,CHI,2019-10-07,CHI vs. MIL,L,112,0.378,0.316,0.684,15,30,24,15,5,12,17,MIL,122.0,0.477,0.37,0.84,11.0,48.0,24.0,11.0,9.0,25.0,29.0
12019,1610612761,TOR,2019-10-08,TOR vs. HOU,W,134,0.506,0.375,0.842,15,39,30,15,3,25,28,HOU,129.0,0.479,0.34,0.655,12.0,23.0,25.0,13.0,10.0,20.0,31.0
12019,1610612748,MIA,2019-10-08,MIA vs. SAS,W,107,0.461,0.25,0.81,7,42,25,8,5,15,21,SAS,89.0,0.4,0.308,0.808,4.0,33.0,21.0,5.0,3.0,16.0,19.0
12019,1610612760,OKC,2019-10-08,OKC vs. DAL,W,119,0.532,0.5,0.657,8,42,24,4,2,19,26,DAL,104.0,0.362,0.26,0.742,14.0,31.0,22.0,10.0,6.0,12.0,28.0
12019,1610612756,PHX,2019-10-08,PHX vs. MIN,W,111,0.5,0.304,0.762,11,38,20,9,4,29,22,MIN,106.0,0.419,0.205,0.87,10.0,32.0,23.0,15.0,3.0,27.0,22.0
12019,1610612757,POR,2019-10-08,POR vs. DEN,L,94,0.341,0.2,0.765,15,36,19,11,4,22,24,DEN,105.0,0.447,0.31,0.769,10.0,39.0,21.0,11.0,6.0,24.0,29.0
12019,1610612765,DET,2019-10-09,DET vs. DAL,W,124,0.517,0.4,0.7,12,31,31,6,5,19,21,DAL,117.0,0.468,0.371,0.789,5.0,27.0,22.0,9.0,3.0,14.0,23.0
12019,1610612737,ATL,2019-10-09,ATL vs. ORL,L,88,0.338,0.275,0.821,11,41,21,11,5,27,23,ORL,97.0,0.376,0.294,0.676,12.0,36.0,21.0,16.0,6.0,18.0,26.0
12019,1610612766,CHA,2019-10-09,CHA vs. MIA,L,94,0.412,0.222,0.762,10,32,19,7,6,18,14,MIA,108.0,0.483,0.405,1.0,6.0,37.0,23.0,11.0,4.0,19.0,23.0
12019,1610612741,CHI,2019-10-09,CHI vs. NOP,L,125,0.471,0.378,0.765,15,32,38,4,2,21,20,NOP,127.0,0.545,0.424,0.708,5.0,40.0,40.0,12.0,6.0,19.0,18.0
12019,1610612749,MIL,2019-10-09,MIL vs. UTA,W,133,0.568,0.417,0.667,3,39,29,9,7,17,26,UTA,99.0,0.372,0.207,0.853,10.0,39.0,14.0,6.0,1.0,23.0,27.0
12019,1610612745,HOU,2019-10-10,HOU vs. TOR,W,118,0.388,0.266,0.781,12,40,26,12,8,21,27,TOR,111.0,0.391,0.297,0.737,11.0,41.0,24.0,17.0,6.0,24.0,28.0
12019,1610612747,LAL,2019-10-10,LAL vs. BKN,L,111,0.432,0.393,0.783,13,32,30,14,10,21,29,BKN,114.0,0.45,0.488,0.759,8.0,34.0,26.0,10.0,9.0,25.0,24.0
12019,1610612758,SAC,2019-10-10,SAC vs. PHX,W,105,0.411,0.355,0.8,13,46,20,8,5,25,35,PHX,88.0,0.314,0.182,0.824,5.0,38.0,16.0,12.0,3.0,21.0,24.0
12019,1610612744,GSW,2019-10-10,GSW vs. MIN,W,143,0.526,0.514,0.889,10,40,34,9,11,21,28,MIN,123.0,0.407,0.286,0.84,17.0,34.0,27.0,7.0,5.0,19.0,21.0
12019,1610612746,LAC,2019-10-10,LAC vs. DEN,L,91,0.438,0.308,0.565,4,29,28,8,3,23,19,DEN,111.0,0.506,0.28,0.762,9.0,42.0,28.0,11.0,2.0,24.0,21.0
12019,1610612765,DET,2019-10-11,DET vs. CLE,W,109,0.482,0.182,0.742,7,39,25,4,6,17,24,CLE,105.0,0.43,0.353,0.792,8.0,32.0,17.0,5.0,3.0,17.0,28.0
12019,1610612754,IND,2019-10-11,IND vs. CHI,W,105,0.439,0.353,0.7,7,43,26,6,7,27,21,CHI,87.0,0.376,0.185,0.571,12.0,36.0,14.0,15.0,3.0,20.0,27.0
12019,1610612753,ORL,2019-10-11,ORL vs. BOS,L,75,0.313,0.194,0.654,12,32,18,10,8,21,15,BOS,100.0,0.419,0.308,0.833,14.0,45.0,25.0,13.0,3.0,21.0,21.0
12019,1610612766,CHA,2019-10-11,CHA vs. PHI,L,87,0.363,0.286,0.885,9,37,22,7,6,22,19,PHI,100.0,0.458,0.25,0.682,10.0,39.0,27.0,14.0,13.0,21.0,24.0
12019,1610612752,NYK,2019-10-11,NYK vs. WAS,L,99,0.39,0.294,0.781,12,40,21,9,4,23,28,WAS,115.0,0.449,0.463,0.696,7.0,36.0,23.0,12.0,4.0,18.0,27.0
12019,1610612740,NOP,2019-10-11,NOP vs. UTA,W,128,0.517,0.433,0.862,9,28,20,6,3,15,21,UTA,127.0,0.59,0.5,0.667,5.0,30.0,37.0,7.0,5.0,20.0,19.0
12019,1610612742,DAL,2019-10-11,DAL vs. MIL,L,111,0.394,0.32,0.656,11,39,27,10,4,20,23,MIL,118.0,0.5,0.425,0.708,4.0,43.0,30.0,8.0,5.0,19.0,29.0
12019,1610612751,BKN,2019-10-12,BKN vs. LAL,W,91,0.458,0.371,0.667,6,38,25,11,3,26,22,LAL,77.0,0.337,0.156,0.632,14.0,25.0,14.0,15.0,6.0,20.0,22.0
12019,1610612757,POR,2019-10-12,POR vs. PHX,L,118,0.532,0.379,0.639,9,32,26,6,6,22,21,PHX,134.0,0.506,0.533,0.88,7.0,36.0,29.0,10.0,3.0,18.0,30.0
12019,1610612738,BOS,2019-10-13,BOS vs. CLE,W,118,0.511,0.433,0.591,14,35,28,8,9,18,21,CLE,72.0,0.329,0.175,0.722,10.0,32.0,11.0,6.0,3.0,27.0,20.0
12019,1610612759,SAS,2019-10-13,SAS vs. NOP,L,114,0.463,0.375,0.838,3,35,24,6,5,18,25,NOP,123.0,0.489,0.333,0.767,7.0,38.0,26.0,10.0,4.0,17.0,30.0
12019,1610612753,ORL,2019-10-13,ORL vs. PHI,L,94,0.391,0.25,0.692,14,20,23,8,8,18,33,PHI,126.0,0.525,0.419,0.784,15.0,39.0,29.0,13.0,6.0,24.0,26.0
12019,1610612761,TOR,2019-10-13,TOR vs. CHI,L,91,0.4,0.31,0.581,6,34,25,10,6,17,15,CHI,105.0,0.411,0.367,0.813,14.0,43.0,26.0,8.0,6.0,19.0,24.0
12019,1610612764,WAS,2019-10-13,WAS vs. MIL,L,108,0.432,0.413,0.5,11,31,24,9,2,21,28,MIL,115.0,0.5,0.353,0.958,5.0,39.0,26.0,5.0,4.0,23.0,30.0
12019,1610612748,MIA,2019-10-14,MIA vs. ATL,W,120,0.457,0.405,0.778,12,40,26,7,7,19,27,ATL,87.0,0.41,0.258,0.652,5.0,35.0,18.0,7.0,3.0,25.0,22.0
12019,1610612763,MEM,2019-10-14,MEM vs. CHA,L,99,0.376,0.281,0.714,11,39,22,9,4,21,19,CHA,120.0,0.479,0.425,0.867,10.0,48.0,25.0,7.0,6.0,22.0,25.0
12019,1610612742,DAL,2019-10-14,DAL vs. OKC,W,107,0.422,0.325,0.783,13,53,27,10,4,23,24,OKC,70.0,0.326,0.147,0.563,6.0,33.0,14.0,11.0,11.0,21.0,23.0
12019,1610612756,PHX,2019-10-14,PHX vs. DEN,L,102,0.4,0.281,0.833,11,25,29,10,3,17,27,DEN,107.0,0.463,0.333,0.821,10.0,33.0,25.0,7.0,6.0,23.0,30.0
12019,1610612762,UTA,2019-10-14,UTA vs. SAC,L,115,0.488,0.257,0.8,9,39,26,4,3,20,23,SAC,128.0,0.46,0.368,0.759,11.0,32.0,26.0,13.0,6.0,11.0,29.0
12019,1610612747,LAL,2019-10-14,LAL vs. GSW,W,104,0.418,0.348,0.769,13,35,25,11,6,24,28,GSW,98.0,0.362,0.25,0.913,16.0,30.0,22.0,12.0,10.0,21.0,28.0
12019,1610612739,CLE,2019-10-15,CLE vs. BOS,L,95,0.429,0.282,0.667,5,27,19,5,1,18,25,BOS,118.0,0.547,0.405,0.656,6.0,35.0,21.0,6.0,7.0,18.0,22.0
12019,1610612754,IND,2019-10-15,IND vs. MIN,L,111,0.402,0.371,0.889,9,41,28,8,7,18,19,MIN,119.0,0.43,0.324,0.625,19.0,46.0,34.0,10.0,9.0,19.0,18.0
12019,1610612755,PHI,2019-10-15,PHI vs. DET,W,106,0.457,0.25,0.941,16,45,24,9,15,14,22,DET,86.0,0.326,0.231,0.857,9.0,33.0,22.0,9.0,7.0,11.0,13.0
